Filename,Predictions
1.png,deer
2.png,airplane
3.png,automobile
4.png,ship
5.png,airplane
6.png,cat
7.png,airplane
8.png,cat
9.png,bird
10.png,deer
11.png,bird
12.png,deer
13.png,horse
14.png,frog
15.png,cat
16.png,airplane
17.png,bird
18.png,frog
19.png,airplane
20.png,bird
21.png,airplane
22.png,ship
23.png,frog
24.png,automobile
25.png,frog
26.png,automobile
27.png,automobile
28.png,cat
29.png,frog
30.png,cat
31.png,bird
32.png,horse
33.png,dog
34.png,airplane
35.png,deer
36.png,cat
37.png,cat
38.png,cat
39.png,ship
40.png,frog
41.png,bird
42.png,bird
43.png,truck
44.png,deer
45.png,horse
46.png,automobile
47.png,deer
48.png,frog
49.png,airplane
50.png,truck
51.png,bird
52.png,horse
53.png,cat
54.png,frog
55.png,ship
56.png,ship
57.png,frog
58.png,bird
59.png,airplane
60.png,airplane
61.png,frog
62.png,frog
63.png,deer
64.png,frog
65.png,ship
66.png,cat
67.png,ship
68.png,airplane
69.png,bird
70.png,frog
71.png,truck
72.png,bird
73.png,airplane
74.png,deer
75.png,frog
76.png,ship
77.png,airplane
78.png,frog
79.png,horse
80.png,frog
81.png,bird
82.png,deer
83.png,ship
84.png,bird
85.png,deer
86.png,frog
87.png,dog
88.png,bird
89.png,frog
90.png,airplane
91.png,airplane
92.png,airplane
93.png,frog
94.png,deer
95.png,automobile
96.png,frog
97.png,deer
98.png,frog
99.png,truck
100.png,bird
101.png,deer
102.png,airplane
103.png,horse
104.png,cat
105.png,airplane
106.png,bird
107.png,automobile
108.png,frog
109.png,frog
110.png,frog
111.png,horse
112.png,bird
113.png,deer
114.png,airplane
115.png,truck
116.png,horse
117.png,cat
118.png,deer
119.png,bird
120.png,cat
121.png,bird
122.png,automobile
123.png,horse
124.png,frog
125.png,ship
126.png,cat
127.png,airplane
128.png,cat
129.png,frog
130.png,airplane
131.png,airplane
132.png,deer
133.png,bird
134.png,frog
135.png,frog
136.png,cat
137.png,deer
138.png,frog
139.png,horse
140.png,automobile
141.png,frog
142.png,dog
143.png,deer
144.png,deer
145.png,frog
146.png,frog
147.png,frog
148.png,automobile
149.png,bird
150.png,frog
151.png,airplane
152.png,dog
153.png,dog
154.png,airplane
155.png,truck
156.png,horse
157.png,airplane
158.png,airplane
159.png,frog
160.png,frog
161.png,cat
162.png,frog
163.png,frog
164.png,cat
165.png,frog
166.png,airplane
167.png,frog
168.png,cat
169.png,deer
170.png,cat
171.png,frog
172.png,frog
173.png,cat
174.png,frog
175.png,frog
176.png,airplane
177.png,cat
178.png,automobile
179.png,bird
180.png,automobile
181.png,frog
182.png,truck
183.png,deer
184.png,frog
185.png,ship
186.png,dog
187.png,ship
188.png,cat
189.png,frog
190.png,airplane
191.png,automobile
192.png,ship
193.png,airplane
194.png,frog
195.png,truck
196.png,bird
197.png,automobile
198.png,cat
199.png,ship
200.png,frog
201.png,ship
202.png,cat
203.png,airplane
204.png,cat
205.png,airplane
206.png,bird
207.png,cat
208.png,deer
209.png,frog
210.png,bird
211.png,automobile
212.png,deer
213.png,horse
214.png,frog
215.png,dog
216.png,frog
217.png,dog
218.png,airplane
219.png,cat
220.png,automobile
221.png,frog
222.png,airplane
223.png,frog
224.png,bird
225.png,bird
226.png,bird
227.png,horse
228.png,cat
229.png,deer
230.png,horse
231.png,deer
232.png,deer
233.png,deer
234.png,frog
235.png,deer
236.png,frog
237.png,deer
238.png,deer
239.png,truck
240.png,airplane
241.png,frog
242.png,cat
243.png,bird
244.png,cat
245.png,frog
246.png,dog
247.png,bird
248.png,truck
249.png,horse
250.png,ship
251.png,bird
252.png,airplane
253.png,frog
254.png,airplane
255.png,frog
256.png,frog
257.png,frog
258.png,airplane
259.png,deer
260.png,airplane
261.png,dog
262.png,airplane
263.png,horse
264.png,horse
265.png,frog
266.png,frog
267.png,cat
268.png,airplane
269.png,frog
270.png,automobile
271.png,frog
272.png,airplane
273.png,dog
274.png,cat
275.png,frog
276.png,frog
277.png,frog
278.png,horse
279.png,cat
280.png,cat
281.png,frog
282.png,bird
283.png,cat
284.png,frog
285.png,frog
286.png,frog
287.png,ship
288.png,truck
289.png,cat
290.png,deer
291.png,automobile
292.png,deer
293.png,airplane
294.png,bird
295.png,airplane
296.png,bird
297.png,frog
298.png,deer
299.png,ship
300.png,truck
301.png,frog
302.png,frog
303.png,frog
304.png,frog
305.png,frog
306.png,automobile
307.png,airplane
308.png,horse
309.png,frog
310.png,deer
311.png,automobile
312.png,frog
313.png,bird
314.png,frog
315.png,cat
316.png,frog
317.png,bird
318.png,cat
319.png,frog
320.png,frog
321.png,frog
322.png,horse
323.png,frog
324.png,dog
325.png,horse
326.png,ship
327.png,frog
328.png,frog
329.png,deer
330.png,truck
331.png,bird
332.png,airplane
333.png,bird
334.png,frog
335.png,deer
336.png,deer
337.png,dog
338.png,frog
339.png,frog
340.png,ship
341.png,ship
342.png,frog
343.png,bird
344.png,bird
345.png,ship
346.png,frog
347.png,airplane
348.png,horse
349.png,cat
350.png,truck
351.png,bird
352.png,truck
353.png,deer
354.png,cat
355.png,airplane
356.png,frog
357.png,airplane
358.png,frog
359.png,airplane
360.png,frog
361.png,horse
362.png,airplane
363.png,bird
364.png,airplane
365.png,frog
366.png,frog
367.png,cat
368.png,frog
369.png,airplane
370.png,deer
371.png,frog
372.png,bird
373.png,cat
374.png,airplane
375.png,truck
376.png,airplane
377.png,frog
378.png,frog
379.png,automobile
380.png,cat
381.png,truck
382.png,airplane
383.png,airplane
384.png,cat
385.png,frog
386.png,cat
387.png,ship
388.png,truck
389.png,frog
390.png,cat
391.png,frog
392.png,frog
393.png,bird
394.png,frog
395.png,frog
396.png,frog
397.png,frog
398.png,deer
399.png,dog
400.png,deer
401.png,frog
402.png,truck
403.png,deer
404.png,frog
405.png,cat
406.png,airplane
407.png,automobile
408.png,truck
409.png,bird
410.png,frog
411.png,horse
412.png,deer
413.png,frog
414.png,airplane
415.png,automobile
416.png,frog
417.png,airplane
418.png,cat
419.png,bird
420.png,dog
421.png,frog
422.png,dog
423.png,cat
424.png,deer
425.png,airplane
426.png,airplane
427.png,horse
428.png,cat
429.png,ship
430.png,frog
431.png,frog
432.png,frog
433.png,bird
434.png,bird
435.png,frog
436.png,bird
437.png,automobile
438.png,truck
439.png,automobile
440.png,frog
441.png,airplane
442.png,bird
443.png,deer
444.png,frog
445.png,bird
446.png,dog
447.png,deer
448.png,frog
449.png,bird
450.png,bird
451.png,deer
452.png,frog
453.png,airplane
454.png,airplane
455.png,horse
456.png,airplane
457.png,deer
458.png,cat
459.png,bird
460.png,truck
461.png,automobile
462.png,frog
463.png,truck
464.png,frog
465.png,airplane
466.png,airplane
467.png,deer
468.png,bird
469.png,dog
470.png,bird
471.png,bird
472.png,ship
473.png,frog
474.png,airplane
475.png,bird
476.png,dog
477.png,automobile
478.png,horse
479.png,frog
480.png,frog
481.png,deer
482.png,ship
483.png,cat
484.png,frog
485.png,dog
486.png,airplane
487.png,frog
488.png,deer
489.png,ship
490.png,deer
491.png,truck
492.png,frog
493.png,frog
494.png,frog
495.png,automobile
496.png,horse
497.png,ship
498.png,frog
499.png,frog
500.png,frog
501.png,ship
502.png,dog
503.png,airplane
504.png,frog
505.png,deer
506.png,dog
507.png,dog
508.png,frog
509.png,dog
510.png,cat
511.png,dog
512.png,automobile
513.png,frog
514.png,deer
515.png,bird
516.png,ship
517.png,airplane
518.png,ship
519.png,ship
520.png,automobile
521.png,cat
522.png,dog
523.png,deer
524.png,automobile
525.png,frog
526.png,deer
527.png,airplane
528.png,dog
529.png,frog
530.png,bird
531.png,cat
532.png,frog
533.png,bird
534.png,airplane
535.png,airplane
536.png,bird
537.png,airplane
538.png,frog
539.png,truck
540.png,truck
541.png,truck
542.png,cat
543.png,bird
544.png,horse
545.png,frog
546.png,deer
547.png,cat
548.png,horse
549.png,dog
550.png,horse
551.png,cat
552.png,frog
553.png,horse
554.png,deer
555.png,frog
556.png,truck
557.png,dog
558.png,ship
559.png,frog
560.png,bird
561.png,frog
562.png,frog
563.png,frog
564.png,cat
565.png,airplane
566.png,airplane
567.png,deer
568.png,deer
569.png,cat
570.png,horse
571.png,ship
572.png,frog
573.png,frog
574.png,ship
575.png,frog
576.png,horse
577.png,horse
578.png,frog
579.png,ship
580.png,frog
581.png,frog
582.png,frog
583.png,frog
584.png,airplane
585.png,automobile
586.png,cat
587.png,deer
588.png,airplane
589.png,airplane
590.png,deer
591.png,horse
592.png,deer
593.png,truck
594.png,horse
595.png,frog
596.png,ship
597.png,dog
598.png,truck
599.png,cat
600.png,frog
601.png,frog
602.png,frog
603.png,deer
604.png,deer
605.png,automobile
606.png,frog
607.png,airplane
608.png,cat
609.png,horse
610.png,truck
611.png,deer
612.png,bird
613.png,automobile
614.png,ship
615.png,cat
616.png,deer
617.png,automobile
618.png,cat
619.png,horse
620.png,deer
621.png,frog
622.png,deer
623.png,dog
624.png,cat
625.png,cat
626.png,frog
627.png,bird
628.png,horse
629.png,bird
630.png,dog
631.png,airplane
632.png,deer
